representative	size	n_dark	top_interpro	interpro_purity	n_annotated	disjoint_MF_pairs
Q96Q11	2	1	IPR032828	1.00	1	0
Q96RJ6	2	0	IPR011598	1.00	2	0
Q96RR1	2	0	IPR027032	1.00	2	0
Q96SN7	2	0	IPR012446	1.00	2	0
Q9GZV7	2	0	IPR007110	1.00	1	0
Q9H0B8	2	0	IPR004043	1.00	0	0
Q9H190	2	0	IPR001478	1.00	2	0
Q9VM92	2	0	IPR004344	1.00	2	0
Q9VMA2	2	0	IPR001937	1.00	2	0
Q9VMB9	2	0	IPR002124	1.00	1	0
Q9VMP9	2	1	IPR018321	1.00	1	0
Q9VMV7	2	0	IPR007529	1.00	1	0
Q9W1F4	2	0	IPR019163	1.00	2	0
Q9W1L1	2	0	IPR039927	1.00	2	1
Q9W240	2	0	IPR036612	1.00	0	0
Q9W2M8	2	0	IPR013870	1.00	2	1
A0A0B4K7H3	2	2	IPR003033	1.00	0	0
A0A0B4KF39	2	2	-	0.00	0	0
A0A0B4KGP4	2	0	IPR013783	0.50	2	0
A0A0B4LHE9	2	2	IPR007588	1.00	0	0
A0A0B4LHI2	2	2	IPR007588	1.00	0	0
A8DYL2	2	1	IPR035914	1.00	1	0
A8MSI8	2	0	IPR008011	1.00	1	0
A8MVU1	2	1	IPR035757	1.00	1	0
A8MYZ0	2	2	IPR039785	1.00	0	0
B5MCN3	2	1	IPR001251	1.00	0	0
O96651	2	0	IPR013825	1.00	2	0
P00395	2	0	IPR036927	1.00	2	0
P00403	2	0	IPR034210	1.00	2	0
P00937	2	0	IPR017926	1.00	2	0
P00966	2	0	IPR023434	1.00	2	0
P13727	2	0	IPR001304	1.00	2	0
P13994	2	0	IPR007590	0.50	2	0
P14174	2	0	IPR019829	1.00	2	0
P15202	2	0	IPR018028	1.00	2	0
P15248	2	0	IPR020447	0.50	2	0
P15436	2	0	IPR036397	1.00	2	0
P16333	2	0	IPR000980	1.00	2	0
P16550	2	0	IPR043171	1.00	2	0
P16581	2	0	IPR000742	1.00	2	0
P29350	2	0	IPR016130	1.00	2	0
P29453	2	0	IPR004037	1.00	2	0
P29474	2	0	IPR003097	1.00	2	0
P29803	2	0	IPR029061	1.00	1	0
P40037	2	0	IPR006056	1.00	1	0
P40093	2	1	IPR003226	1.00	0	0
P40427	2	0	IPR008422	0.50	1	0
P40500	2	0	IPR031427	1.00	0	0
P40549	2	0	IPR029044	1.00	1	0
P53914	2	0	IPR027992	1.00	2	0
Q08649	2	0	IPR016181	1.00	2	0
Q08687	2	1	IPR021346	1.00	1	0
Q08745	2	0	IPR037447	1.00	2	0
Q08952	2	0	IPR006571	0.50	1	0
Q08975	2	0	IPR016084	0.50	2	0
Q08AF3	2	1	IPR038461	1.00	1	0
Q0E8K6	2	0	IPR020103	1.00	1	0
Q0E908	2	0	IPR038765	1.00	2	0
Q14393	2	0	IPR000294	1.00	2	0
Q14457	2	0	IPR007243	1.00	2	0
Q14623	2	0	IPR001657	1.00	2	0
Q14790	2	0	IPR029030	1.00	2	0
Q14894	2	1	IPR003462	1.00	1	0
Q14994	2	0	IPR000536	1.00	2	0
Q15042	2	0	IPR026147	1.00	1	0
Q5JS54	2	0	IPR032157	0.50	1	0
Q5JSQ8	2	1	IPR031952	1.00	1	0
Q5QGT7	2	0	IPR027377	1.00	2	0
Q5SQS7	2	1	IPR036860	1.00	1	0
Q5TA50	2	1	IPR036497	1.00	1	0
Q7K332	2	0	IPR042421	0.50	1	0
Q7KRR5	2	0	IPR008979	1.00	2	0
Q7KTH8	2	0	IPR033205	1.00	1	0
Q7KUN6	2	1	IPR007808	1.00	1	0
Q7KVW2	2	1	IPR055079	1.00	1	0
Q7KZF4	2	0	IPR016071	1.00	2	0
Q7L3B6	2	1	IPR004918	0.50	1	0
Q7PL26	2	0	IPR015257	1.00	2	0
Q969H6	2	0	IPR016819	1.00	2	0
Q969Z3	2	1	IPR005303	1.00	1	0
Q96A35	2	0	IPR005825	1.00	1	0
Q96AG4	2	1	IPR050216	1.00	1	0
Q96AP4	2	0	IPR050688	0.50	2	0
Q96BR5	2	1	IPR040239	1.00	1	0
Q96CJ1	2	0	IPR019194	0.50	2	0
Q9BX74	2	0	IPR050932	1.00	2	0
Q9BXJ7	2	0	IPR026112	1.00	2	0
Q9BXR3	2	2	IPR036397	1.00	0	0
Q9BY27	2	0	IPR010849	1.00	2	0
Q9BYD5	2	0	IPR006461	1.00	1	0
Q9BYN0	2	0	IPR003115	1.00	2	0
Q9BYZ6	2	0	IPR001806	0.50	2	0
Q9BZE7	2	1	IPR007914	1.00	1	0
Q9NQX3	2	0	IPR005110	1.00	1	0
Q9NRM2	2	1	IPR036236	1.00	1	0
Q9NRP4	2	0	IPR008381	0.50	0	0
Q9NRV9	2	0	IPR006917	1.00	1	0
Q9NSU2	2	0	IPR036397	1.00	2	0
Q9UK23	2	0	IPR018711	0.50	2	0
Q9UK99	2	1	IPR001810	0.50	1	0
Q9UKF7	2	0	IPR055261	0.50	2	0
Q9UM07	2	0	IPR004303	1.00	2	0
Q9UNH5	2	0	IPR016130	1.00	2	0
Q9UNI6	2	0	IPR029021	1.00	2	0
Q9VAK5	2	0	IPR006138	1.00	1	0
Q9VAU3	2	2	IPR044925	1.00	0	0
Q9VAU6	2	1	IPR019311	1.00	1	0
Q9VAU9	2	1	IPR010531	1.00	1	0
Q9VB14	2	0	IPR037447	1.00	2	0
Q9VB64	2	1	IPR000086	1.00	1	0
Q9VBI0	2	0	IPR019398	1.00	2	0
Q9VBM3	2	1	IPR004345	1.00	1	0
Q9VBU4	2	1	IPR000297	1.00	1	0
Q9VI83	2	1	IPR025239	1.00	0	0
Q9VIC9	2	1	IPR016161	1.00	1	0
Q9VIJ3	2	1	IPR009533	0.50	1	0
Q9VIJ5	2	0	IPR008012	1.00	1	0
Q9VIM5	2	0	IPR034666	1.00	2	0
Q9VJ97	2	0	IPR003347	0.50	1	0
Q9VNL1	2	2	IPR006170	1.00	0	0
Q9VNW0	2	2	IPR001623	1.00	0	0
Q9VP68	2	2	IPR036111	1.00	0	0
Q9VPH4	2	0	IPR037321	1.00	1	0
Q9VPW6	2	2	IPR026512	1.00	0	0
Q9VPX5	2	0	IPR000979	1.00	1	0
Q9VPX8	2	0	IPR036424	1.00	1	0
Q9VVF2	2	2	IPR031754	1.00	0	0
Q9VW34	2	1	IPR002557	1.00	1	0
Q9W2X6	2	0	IPR036794	1.00	2	0
Q9W379	2	0	IPR004457	1.00	1	0
Q9W385	2	0	IPR036524	1.00	2	0
Q9W3N7	2	0	IPR012575	1.00	1	0
Q9W3X7	2	0	IPR016551	1.00	0	0
Q9W477	2	2	IPR000834	1.00	0	0
Q9W495	2	1	IPR029058	1.00	1	0
Q9W4L1	2	0	IPR052008	1.00	2	0
Q9W4P9	2	0	IPR004342	1.00	1	0
A0A8Q3WKH5	2	1	IPR009072	1.00	1	0
A0AAG2UUX9	2	1	IPR008979	0.50	1	0
A0AVI4	2	1	IPR018801	1.00	1	0
A1A5D9	2	0	IPR060493	0.50	2	0
O14508	2	0	IPR000980	1.00	2	0
O14862	2	0	IPR040205	1.00	2	0
O14939	2	0	IPR001736	1.00	2	0
O75955	2	0	IPR027705	1.00	1	0
O76095	2	1	IPR008657	1.00	1	0
O76464	2	1	IPR036265	1.00	1	0
O76902	2	0	IPR011993	1.00	2	0
P0CH64	2	0	IPR003607	1.00	2	0
P0CX45	2	0	IPR014726	1.00	2	0
P0CX52	2	0	IPR020574	1.00	0	0
P0CX85	2	0	IPR001854	1.00	2	0
P0DN86	2	0	IPR001545	1.00	2	0
P30405	2	0	IPR029000	1.00	2	0
P32357	2	0	IPR007946	1.00	2	0
P40583	2	0	IPR021109	1.00	1	0
P40939	2	0	IPR006180	1.00	2	0
P40963	2	0	IPR016181	1.00	2	0
P40992	2	0	IPR021752	1.00	2	0
P41056	2	0	IPR009000	1.00	2	0
P41226	2	0	IPR042449	1.00	2	0
Q9VXI6	2	1	IPR036544	1.00	0	0
Q9VXT8	2	2	IPR013083	1.00	0	0
Q9Y287	2	0	IPR040145	1.00	1	0
Q9Y2X7	2	0	IPR013724	1.00	2	0
Q9Y2Z4	2	0	IPR001412	1.00	2	0
Q9Y343	2	0	IPR052467	1.00	2	0
Q9Y3B2	2	0	IPR025721	1.00	2	0
Q9Y3C1	2	1	IPR019002	1.00	1	0
Q9Y3I0	2	0	IPR027513	1.00	1	0
B7Z095	2	2	IPR022110	1.00	0	0
C9J202	2	2	IPR001296	0.50	0	0
E1JIS4	2	1	IPR063322	0.50	0	0
F2Z333	2	1	IPR034446	0.50	0	0
P02760	2	1	IPR020901	0.50	1	0
P02765	2	0	IPR000010	1.00	2	0
P02771	2	0	IPR020857	1.00	2	0
P03873	2	0	IPR016174	1.00	2	1
P03876	2	0	IPR036927	1.00	2	0
P03877	2	0	IPR004860	1.00	1	0
P04359	2	0	IPR018263	1.00	2	0
P19956	2	0	IPR019716	1.00	2	1
P19957	2	0	IPR050514	1.00	2	0
P20436	2	0	IPR005570	1.00	2	0
P20700	2	0	IPR018039	1.00	2	0
P20774	2	0	IPR001611	1.00	2	1
P20827	2	0	IPR008972	1.00	2	0
P21283	2	0	IPR036132	1.00	2	0
P21524	2	0	IPR008926	1.00	2	0
P21741	2	0	IPR037122	1.00	2	0
P21801	2	0	IPR050573	1.00	2	0
P37366	2	0	IPR036915	1.00	2	0
P38117	2	0	IPR000049	1.00	1	0
P38121	2	0	IPR007185	1.00	2	0
P48426	2	0	IPR023610	1.00	2	0
P48448	2	0	IPR016161	1.00	2	0
P48507	2	0	IPR023210	1.00	2	0
P49643	2	0	IPR007238	1.00	1	0
P49773	2	1	IPR011146	1.00	1	0
P49821	2	0	IPR037225	1.00	1	0
P82650	2	0	IPR019374	0.50	2	0
P83876	2	0	IPR036249	1.00	2	0
P86791	2	0	IPR013176	1.00	2	0
Q01433	2	0	IPR006650	0.50	2	0
Q0KHQ1	2	0	IPR000504	1.00	0	0
Q0KI22	2	1	IPR010754	1.00	0	0
Q12080	2	0	IPR011687	1.00	2	0
Q12108	2	0	IPR006571	1.00	1	0
Q12153	2	0	IPR045112	1.00	2	0
Q24145	2	0	IPR000719	1.00	2	0
Q24155	2	0	IPR008717	1.00	2	0
Q24307	2	0	IPR001370	1.00	2	0
Q5VVC0	2	1	IPR027857	0.50	1	0
Q693B1	2	0	IPR011333	1.00	2	0
Q6A162	2	0	IPR039008	0.50	2	0
Q6DCA0	2	1	IPR002733	1.00	1	0
Q86UL3	2	0	IPR002123	1.00	1	0
Q86UP8	2	0	IPR036647	1.00	2	0
Q86V88	2	1	IPR023214	1.00	1	0
Q86XP6	2	0	IPR051772	1.00	2	0
Q86Y38	2	0	IPR043538	1.00	2	0
Q8N6R0	2	1	IPR051419	1.00	1	0
Q8N7F7	2	1	IPR000626	0.50	1	0
Q8N9A8	2	1	IPR019168	1.00	1	0
Q8N9S9	2	0	IPR048767	1.00	2	0
Q8NA19	2	0	IPR002515	0.50	2	0
Q8NCF0	2	0	IPR000742	1.00	2	0
Q96VH4	2	0	IPR029479	1.00	1	0
Q99489	2	0	IPR023209	0.50	2	0
Q9BQ48	2	0	IPR000271	1.00	0	0
Q9BQ52	2	0	IPR027794	1.00	2	0
Q9BQ83	2	0	IPR050381	1.00	2	0
Q9H857	2	0	IPR008380	1.00	0	0
Q9H981	2	0	IPR043129	1.00	1	0
Q9H9S5	2	0	IPR055105	0.50	2	0
Q9HA82	2	0	IPR006634	1.00	2	0
Q9HB71	2	0	IPR008978	1.00	1	0
Q9NZQ9	2	0	IPR004934	1.00	2	0
Q9P0J1	2	0	IPR036457	1.00	2	0
Q9P2E5	2	0	IPR051227	0.50	2	0
Q9U616	2	1	IPR002930	1.00	1	0
Q9VC13	2	2	IPR036961	1.00	0	0
Q9VC18	2	0	IPR002695	1.00	1	0
Q9VC49	2	1	IPR023580	1.00	1	0
Q9VCU6	2	0	IPR051219	1.00	2	0
Q9VD61	2	0	IPR013766	1.00	0	0
Q9VD92	2	0	IPR036820	1.00	1	0
Q9VGA7	2	2	IPR019193	1.00	0	0
Q9VGP7	2	0	IPR019192	1.00	2	0
Q9VGR1	2	0	IPR000237	1.00	2	0
Q9VH09	2	1	IPR015421	1.00	1	0
Q9VH90	2	0	IPR001876	1.00	2	0
Q9VHQ4	2	2	IPR031926	1.00	0	0
Q9VQ86	2	1	IPR029033	1.00	1	0
Q9VQC4	2	1	IPR025286	1.00	1	0
Q9VQP9	2	1	IPR021149	1.00	1	0
Q9VQR9	2	0	IPR012879	1.00	1	0
Q9VR83	2	0	IPR032675	1.00	2	0
Q9VR87	2	1	IPR032007	1.00	1	0
Q9VRA0	2	1	IPR051441	1.00	1	0
Q9VRD4	2	1	IPR037523	1.00	1	0
Q9W0R0	2	0	IPR001005	0.50	2	0
Q9W0X2	2	0	IPR036682	1.00	0	0
W5XKT8	2	0	IPR036179	1.00	2	0
X2JDZ1	2	0	IPR001478	0.50	1	0
X2JFV5	2	2	-	0.00	0	0
P41964	2	0	IPR003614	1.00	0	0
P54278	2	0	IPR014721	1.00	2	0
P54353	2	0	IPR051370	1.00	2	0
P54611	2	0	IPR038495	1.00	2	0
P54750	2	0	IPR013706	1.00	2	0
P56538	2	1	IPR002769	1.00	1	0
P56589	2	0	IPR006966	1.00	2	0
P57076	2	1	IPR021298	1.00	1	0
P58005	2	0	IPR006730	1.00	2	0
Q04969	2	0	IPR009582	1.00	1	0
Q05863	2	0	IPR045853	1.00	2	0
Q05934	2	0	IPR003656	1.00	1	0
Q06236	2	0	IPR007992	1.00	2	0
Q6PCB0	2	0	IPR050525	0.50	1	0
Q6PP77	2	2	IPR051773	1.00	0	0
Q6UB35	2	0	IPR020630	1.00	2	0
Q6UWF9	2	1	IPR029170	1.00	1	0
Q6UY11	2	0	IPR000152	1.00	1	0
Q8IW03	2	1	IPR008974	0.50	1	0
Q8IXM3	2	0	IPR019189	1.00	2	0
Q8IYB7	2	0	IPR050180	1.00	2	0
Q8MH63	2	2	IPR050598	1.00	0	0
Q9V359	2	0	IPR037202	1.00	2	0
Q9V3D6	2	0	IPR035639	1.00	2	0
Q9V438	2	0	IPR036249	1.00	1	0
Q9V477	2	0	IPR001611	1.00	2	1
Q9V4E0	2	1	IPR029014	1.00	0	0
Q9V535	2	0	IPR000504	1.00	2	0
Q9V5P6	2	0	IPR007264	1.00	1	0
Q9V5Q4	2	0	IPR013260	1.00	1	0
Q9VE04	2	0	IPR018615	1.00	1	0
Q9VE08	2	1	IPR010422	1.00	1	0
Q9VE30	2	2	IPR036196	0.50	0	0
Q9VE61	2	1	IPR013083	1.00	1	0
Q9VEG9	2	1	IPR033580	1.00	1	0
Q9VEX9	2	0	IPR042534	0.50	2	0
Q9VKY1	2	0	IPR051436	1.00	1	0
Q9VL96	2	1	IPR036420	0.50	0	0
Q9VLM8	2	0	IPR045864	1.00	2	0
Q9VLP7	2	0	IPR029063	1.00	1	0
Q9VLR5	2	0	IPR003173	1.00	2	0
Q9VTC4	2	0	IPR034904	1.00	2	0
Q9VTF8	2	0	IPR008991	1.00	2	1
Q9VZ04	2	0	IPR031631	1.00	1	0
Q9VZ35	2	0	IPR053308	0.50	0	0
Q9VZ88	2	0	IPR051247	1.00	2	0
Q9Y4P9	2	0	IPR010441	1.00	1	0
Q9Y508	2	0	IPR051438	1.00	2	0
Q9Y5K8	2	0	IPR002699	1.00	2	1
Q9Y5X1	2	0	IPR036028	0.50	2	0
Q9Y646	2	0	IPR007484	1.00	2	0
Q9Y6W3	2	0	IPR038765	1.00	2	0
A4V381	2	1	IPR029245	1.00	0	0
A6NJW4	2	1	IPR001611	1.00	1	0
A6NL82	2	1	IPR029214	1.00	1	0
A6PVI3	2	0	IPR000504	1.00	2	0
O46094	2	0	IPR048869	1.00	2	0
O60337	2	0	IPR013083	0.50	2	0
O60542	2	0	IPR029034	1.00	2	0
O60609	2	0	IPR016017	1.00	2	0
O60711	2	0	IPR017305	1.00	2	0
P07202	2	0	IPR019791	1.00	1	0
P07250	2	0	IPR038286	1.00	2	0
P07741	2	1	IPR029057	1.00	1	0
P08729	2	0	IPR003054	1.00	2	0
P25343	2	1	IPR046982	0.50	1	0
P25348	2	0	IPR002677	1.00	2	0
P25566	2	0	IPR002579	1.00	2	0
P25580	2	0	IPR042322	0.50	1	0
P26045	2	0	IPR000299	1.00	2	0
P38292	2	0	IPR010482	1.00	1	0
P38326	2	0	IPR011421	0.50	0	0
P38713	2	0	IPR037239	1.00	2	0
P38754	2	0	IPR008991	1.00	2	0
P53077	2	0	IPR036639	1.00	1	0
P53130	2	1	IPR062709	0.50	0	0
P53152	2	0	IPR000608	1.00	2	0
P53188	2	1	IPR005579	1.00	1	0
P53304	2	0	IPR052058	0.50	2	0
Q02108	2	0	IPR001054	1.00	2	0
Q02326	2	0	IPR000915	1.00	2	0
Q02825	2	0	IPR024337	1.00	2	0
Q03161	2	0	IPR008183	1.00	1	0
Q12239	2	0	IPR013861	0.50	1	0
Q12283	2	0	IPR001227	1.00	1	0
Q12322	2	0	IPR000352	1.00	2	0
Q12378	2	0	IPR039693	1.00	1	0
Q12395	2	0	IPR014764	1.00	1	0
Q12449	2	1	IPR015310	1.00	1	0
Q15388	2	1	IPR022422	1.00	1	0
Q15633	2	1	IPR014720	0.50	1	0
Q15940	2	1	IPR036236	1.00	1	0
Q16540	2	1	IPR013025	1.00	1	0
Q4L235	2	2	IPR002372	1.00	0	0
Q502W7	2	0	IPR051147	1.00	1	0
Q5BJE1	2	0	IPR038826	0.50	1	0
Q6ZNF0	2	2	IPR041792	1.00	0	0
Q6ZP65	2	1	IPR060493	0.50	1	0
Q6ZSC3	2	0	IPR000504	1.00	1	0
Q6ZTN6	2	0	IPR055285	1.00	2	0
Q6ZUK4	2	1	IPR019169	0.50	1	0
Q7JXV9	2	0	IPR036388	1.00	2	0
Q8N2M4	2	1	IPR012506	1.00	1	0
Q8N4W6	2	0	IPR001623	1.00	1	0
Q8N5C7	2	1	IPR051521	1.00	1	0
Q8N6L1	2	1	IPR018614	1.00	1	0
Q8WYH8	2	0	IPR028651	1.00	2	0
Q92765	2	0	IPR020067	1.00	2	0
Q92796	2	0	IPR001478	1.00	2	0
Q92800	2	0	IPR026489	1.00	2	0
Q94524	2	0	IPR038586	1.00	2	0
Q96HM7	2	0	IPR036514	0.50	2	0
Q96IL0	2	0	IPR018796	0.50	1	0
Q96JB6	2	0	IPR036772	1.00	2	0
Q96KA5	2	0	IPR008429	1.00	1	0
Q96KJ9	2	0	IPR036639	1.00	0	0
Q96KN4	2	0	IPR043299	1.00	2	0
Q96LD1	2	1	IPR006875	1.00	0	0
Q96M91	2	0	IPR043597	1.00	2	0
Q9H3R0	2	0	IPR034732	1.00	2	0
Q9H488	2	0	IPR019378	1.00	2	0
Q9H4G4	2	0	IPR034113	1.00	2	0
Q9H4G8	2	1	IPR044248	1.00	1	0
Q9H633	2	1	IPR007175	1.00	1	0
Q9NWB6	2	0	IPR033371	0.50	2	0
Q9NWS0	2	0	IPR012981	1.00	2	0
Q9NWY4	2	1	IPR019361	1.00	1	0
Q9NX47	2	1	IPR013083	1.00	1	0
Q9NXN4	2	0	IPR001251	1.00	1	0
Q9NZ01	2	0	IPR001104	1.00	2	0
Q9NZ42	2	0	IPR019379	1.00	1	0
Q9UBW8	2	0	IPR000717	1.00	2	0
Q9UHA3	2	0	IPR056366	1.00	2	0
Q9UHA7	2	0	IPR008996	1.00	2	0
Q9UHJ3	2	0	IPR001660	1.00	2	0
Q9UIV1	2	0	IPR006941	1.00	2	0
Q9V784	2	0	IPR039910	0.50	1	0
Q9V9T5	2	0	IPR011761	1.00	2	0
Q9V9W3	2	0	IPR000915	1.00	2	0
Q9VA71	2	1	IPR015063	1.00	1	0
Q9VA99	2	1	IPR001424	0.50	1	0
Q9VAB9	2	0	IPR000289	1.00	2	0
Q9VAI4	2	1	IPR016181	1.00	1	0
Q9VAI6	2	2	IPR006170	1.00	0	0
Q9VF70	2	0	IPR009652	1.00	1	0
Q9VF98	2	1	IPR020164	1.00	1	0
Q9VFB5	2	0	IPR012340	1.00	2	0
Q9VG33	2	0	IPR036873	1.00	1	0
Q9VG38	2	0	IPR024314	1.00	2	0
Q9VJE3	2	2	IPR011011	1.00	0	0
Q9VKJ0	2	0	IPR005708	1.00	1	0
Q9VKU5	2	2	IPR037151	1.00	0	0
Q9VRL0	2	0	IPR002326	1.00	1	0
Q9VRV7	2	0	IPR000504	1.00	1	0
Q9VRX7	2	0	IPR036397	1.00	2	0
Q9VSL0	2	2	IPR006578	1.00	0	0
Q9VST4	2	1	IPR014746	1.00	0	0
Q9VSZ2	2	1	IPR014751	0.50	1	0
Q9VWM9	2	2	IPR025061	1.00	0	0
Q9VWQ1	2	0	IPR012445	1.00	2	0
Q9VX02	2	1	IPR019560	1.00	1	0
