accession	family	scan_scope	status	missing_motifs	catalytic_CA_distance_A	experimental_catalytic_GO	known_pseudo
Q04771	kinase	domain	active-like	-	8.1	yes	-
Q04899	kinase	domain	active-like	-	8.1	no	-
Q04912	kinase	domain	active-like	-	10.6	no	-
Q05397	kinase	domain	active-like	-	8.5	yes	-
Q05652	kinase	domain	active-like	-	8.0	yes	-
Q06187	kinase	domain	active-like	-	8.0	yes	-
Q06418	kinase	domain	active-like	-	10.6	yes	-
Q06806	kinase	domain	active-like	-	10.4	no	-
Q06850	kinase	domain	active-like	-	8.6	yes	-
Q07002	kinase	domain	active-like	-	8.0	no	-
Q07407	kinase	domain	active-like	-	8.0	yes	-
Q07832	kinase	domain	active-like	-	8.1	yes	-
Q08345	kinase	domain	active-like	-	8.2	yes	-
Q08466	kinase	domain	active-like	-	8.0	no	-
Q08467	kinase	domain	active-like	-	8.0	yes	-
Q08881	kinase	domain	active-like	-	7.9	yes	-
Q09013	kinase	domain	active-like	-	8.0	yes	-
Q09147	kinase	domain	active-like	-	7.9	yes	-
Q0KHQ5	kinase	domain	active-like	-	8.1	yes	-
Q0PW40	kinase	domain	active-like	-	7.8	no	-
Q0WVM4	kinase	domain	active-like	-	7.9	yes	-
Q12003	kinase	domain	active-like	-	8.3	no	-
Q12222	kinase	domain	active-like	-	8.0	yes	-
Q12469	kinase	domain	active-like	-	8.0	yes	-
Q12851	kinase	domain	active-like	-	8.3	yes	-
Q12866	kinase	domain	active-like	-	7.9	no	-
Q13043	kinase	domain	active-like	-	7.6	yes	-
Q13131	kinase	domain	active-like	-	8.0	yes	-
Q13153	kinase	domain	active-like	-	8.0	yes	-
Q13163	kinase	domain	active-like	-	7.2	no	-
Q13177	kinase	domain	active-like	-	8.0	yes	-
Q13188	kinase	domain	active-like	-	7.5	yes	-
Q13464	kinase	domain	active-like	-	8.7	yes	-
Q13470	kinase	domain	active-like	-	8.1	yes	-
Q13554	kinase	domain	active-like	-	8.4	yes	-
Q13555	kinase	domain	active-like	-	8.4	no	-
Q13557	kinase	domain	active-like	-	8.5	yes	-
Q13705	kinase	domain	active-like	-	7.9	yes	-
Q13882	kinase	domain	active-like	-	7.8	yes	-
Q14012	kinase	domain	active-like	-	8.2	yes	-
Q14164	kinase	domain	active-like	-	8.0	yes	-
Q14289	kinase	domain	active-like	-	8.1	yes	-
Q15131	kinase	domain	active-like	-	7.7	yes	-
Q15208	kinase	domain	active-like	-	8.2	yes	-
Q15303	kinase	domain	active-like	-	8.0	yes	-
Q15375	kinase	domain	active-like	-	8.2	no	-
Q15759	kinase	domain	active-like	-	8.0	yes	-
Q16288	kinase	domain	active-like	-	10.8	no	-
Q16539	kinase	domain	active-like	-	8.3	yes	-
Q16566	kinase	domain	active-like	-	7.8	yes	-
Q16620	kinase	domain	active-like	-	10.9	yes	-
Q16644	kinase	domain	active-like	-	7.8	yes	-
Q16671	kinase	domain	active-like	-	8.1	yes	-
Q16816	kinase	domain	active-like	-	8.1	yes	-
Q16832	kinase	domain	active-like	-	8.4	yes	-
Q1EG27	kinase	domain	active-like	-	8.0	yes	-
Q1PE17	kinase	domain	active-like	-	8.2	no	-
Q1PFH8	kinase	domain	active-like	-	8.5	no	-
Q24145	kinase	domain	active-like	-	8.1	no	-
Q24216	kinase	domain	active-like	-	8.0	yes	-
Q24324	kinase	domain	active-like	-	7.3	yes	-
Q24468	kinase	domain	active-like	-	8.2	yes	-
Q24488	kinase	domain	active-like	-	8.2	no	-
Q2MHE4	kinase	domain	active-like	-	7.9	yes	-
Q2NL51	kinase	domain	active-like	-	8.1	yes	-
Q2QAV0	kinase	domain	active-like	-	8.0	no	-
Q2V338	kinase	domain	active-like	-	8.1	no	-
Q2V419	kinase	domain	active-like	-	8.3	no	-
Q2V452	kinase	domain	active-like	-	8.4	no	-
Q38868	kinase	domain	active-like	-	8.4	no	-
Q38869	kinase	domain	active-like	-	8.4	yes	-
Q38871	kinase	domain	active-like	-	8.4	no	-
Q38872	kinase	domain	active-like	-	8.2	yes	-
Q38873	kinase	domain	active-like	-	8.2	no	-
Q38997	kinase	domain	active-like	-	8.1	yes	-
Q39010	kinase	domain	active-like	-	8.1	no	-
Q39011	kinase	domain	active-like	-	8.1	yes	-
Q39012	kinase	domain	active-like	-	8.1	yes	-
Q39016	kinase	domain	active-like	-	8.5	yes	-
Q39021	kinase	domain	active-like	-	7.9	yes	-
Q39022	kinase	domain	active-like	-	7.8	yes	-
Q39023	kinase	domain	active-like	-	7.8	yes	-
Q39024	kinase	domain	active-like	-	7.8	yes	-
Q39026	kinase	domain	active-like	-	7.9	yes	-
Q39027	kinase	domain	active-like	-	7.9	no	-
Q39030	kinase	domain	active-like	-	8.3	no	-
Q39050	kinase	domain	active-like	-	8.3	yes	-
Q39086	kinase	domain	active-like	-	7.7	yes	-
Q39191	kinase	domain	active-like	-	7.7	no	-
Q39192	kinase	domain	active-like	-	7.5	yes	-
Q39193	kinase	domain	active-like	-	7.4	yes	-
Q3E8W4	kinase	domain	active-like	-	7.8	no	-
Q3E9C0	kinase	domain	active-like	-	8.5	yes	-
Q3E9X6	kinase	domain	active-like	-	7.8	no	-
Q3EDL4	kinase	domain	active-like	-	23.7	yes	-
Q3TZA2	kinase	domain	active-like	-	7.6	no	-
Q3UFB7	kinase	domain	active-like	-	10.7	no	-
Q3UMM4	kinase	domain	active-like	-	7.6	yes	-
Q3UMW7	kinase	domain	active-like	-	7.7	no	-
Q3V3A1	kinase	domain	active-like	-	8.1	no	-
Q42371	kinase	domain	active-like	-	7.6	yes	-
Q42396	kinase	domain	active-like	-	8.2	no	-
Q42438	kinase	domain	active-like	-	8.2	no	-
Q42479	kinase	domain	active-like	-	8.2	yes	-
Q4FZD7	kinase	domain	active-like	-	8.3	no	-
Q4V3C8	kinase	domain	active-like	-	7.8	no	-
Q59H18	kinase	domain	active-like	-	8.1	yes	TNNI3K
Q5EG47	kinase	domain	active-like	-	8.1	yes	-
Q5F2E8	kinase	domain	active-like	-	8.0	no	-
Q5GIG6	kinase	domain	active-like	-	7.9	no	-
Q5MAI5	kinase	domain	active-like	-	7.6	no	-
Q5SYL1	kinase	domain	active-like	-	7.9	no	-
Q5XF24	kinase	domain	active-like	-	8.3	no	-
Q60629	kinase	domain	active-like	-	8.1	yes	-
Q60680	kinase	domain	active-like	-	8.2	yes	-
Q60737	kinase	domain	active-like	-	8.0	no	-
Q60750	kinase	domain	active-like	-	7.9	yes	-
Q60751	kinase	domain	active-like	-	8.5	yes	-
Q60805	kinase	domain	active-like	-	8.1	no	-
Q60806	kinase	domain	active-like	-	14.2	yes	-
Q61006	kinase	domain	active-like	-	8.3	yes	-
Q61036	kinase	domain	active-like	-	8.0	yes	-
Q61161	kinase	domain	active-like	-	8.3	yes	-
Q61241	kinase	domain	active-like	-	8.2	yes	-
Q61271	kinase	domain	active-like	-	8.0	yes	-
Q61288	kinase	domain	active-like	-	8.0	no	-
Q61526	kinase	domain	active-like	-	7.5	no	-
Q61527	kinase	domain	active-like	-	7.8	yes	-
Q61772	kinase	domain	active-like	-	8.3	yes	-
Q61831	kinase	domain	active-like	-	8.4	yes	-
Q61846	kinase	domain	active-like	-	8.0	yes	-
Q61851	kinase	domain	active-like	-	8.0	yes	-
Q62070	kinase	domain	active-like	-	8.0	yes	-
Q62073	kinase	domain	active-like	-	8.1	yes	-
Q62190	kinase	domain	active-like	-	10.7	no	-
Q62312	kinase	domain	active-like	-	8.0	yes	-
Q62371	kinase	domain	active-like	-	7.6	yes	-
Q63844	kinase	domain	active-like	-	7.9	yes	-
Q63932	kinase	domain	active-like	-	7.3	yes	-
Q64261	kinase	domain	active-like	-	7.9	no	-
Q64434	kinase	domain	active-like	-	7.8	no	-
Q64729	kinase	domain	active-like	-	8.0	yes	-
Q66GN2	kinase	domain	active-like	-	7.7	no	-
Q683C9	kinase	domain	active-like	-	8.3	yes	-
Q69ZM6	kinase	domain	active-like	-	8.1	yes	-
Q6A1A2	kinase	domain	active-like	-	7.8	no	-
Q6NLQ6	kinase	domain	active-like	-	8.3	yes	-
Q6P9R2	kinase	domain	active-like	-	7.6	yes	-
Q6PHZ2	kinase	domain	active-like	-	8.4	yes	-
Q6SA08	kinase	domain	active-like	-	8.1	yes	-
Q6VNS1	kinase	domain	active-like	-	9.9	no	-
Q6XAT2	kinase	domain	active-like	-	7.7	no	-
Q6XUX1	kinase	domain	active-like	-	11.7	no	-
Q6XUX3	kinase	domain	active-like	-	11.7	no	-
Q6ZN16	kinase	domain	active-like	-	8.5	yes	-
Q76MJ5	kinase	domain	active-like	-	7.8	yes	-
Q7FK55	kinase	domain	active-like	-	7.7	no	-
Q7KT06	kinase	domain	active-like	-	8.3	no	-
Q7L7X3	kinase	domain	active-like	-	7.8	no	-
Q7TSE6	kinase	domain	active-like	-	8.1	no	-
Q7X8C5	kinase	domain	active-like	-	7.8	yes	-
Q7XJR9	kinase	domain	active-like	-	8.6	yes	-
Q80X41	kinase	domain	active-like	-	8.3	yes	-
Q84M93	kinase	domain	active-like	-	7.9	yes	-
Q84M95	kinase	domain	active-like	-	7.7	no	-
Q84TI6	kinase	domain	active-like	-	25.8	yes	-
Q84VQ3	kinase	domain	active-like	-	8.6	no	-
Q86SG6	kinase	domain	active-like	-	7.1	no	-
Q86V86	kinase	domain	active-like	-	8.1	yes	-
Q86Y07	kinase	domain	active-like	-	8.2	yes	-
Q8BHI9	kinase	domain	active-like	-	8.2	no	-
Q8BK63	kinase	domain	active-like	-	8.3	yes	-
Q8BN21	kinase	domain	active-like	-	8.3	yes	-
Q8BRK8	kinase	domain	active-like	-	8.2	yes	-
Q8BTW9	kinase	domain	active-like	-	7.7	yes	-
Q8BW96	kinase	domain	active-like	-	8.3	no	-
Q8BYC6	kinase	domain	active-like	-	7.7	no	-
Q8BZ03	kinase	domain	active-like	-	12.0	yes	-
Q8CBF3	kinase	domain	active-like	-	8.1	no	-
Q8CDB0	kinase	domain	active-like	-	5.7	yes	-
Q8CIN4	kinase	domain	active-like	-	7.9	yes	-
Q8GUH1	kinase	domain	active-like	-	8.0	no	-
Q8GWJ7	kinase	domain	active-like	-	7.9	no	-
Q8GXQ3	kinase	domain	active-like	-	7.9	no	-
Q8GYA4	kinase	domain	active-like	-	7.8	no	-
Q8GYF5	kinase	domain	active-like	-	7.7	no	-
Q8GYQ5	kinase	domain	active-like	-	7.9	yes	-
Q8GZ99	kinase	domain	active-like	-	8.1	yes	-
Q8H199	kinase	domain	active-like	-	7.8	no	-
Q8H1D6	kinase	domain	active-like	-	8.0	no	-
Q8IU85	kinase	domain	active-like	-	8.0	yes	-
Q8IVH8	kinase	domain	active-like	-	8.4	yes	-
Q8IW41	kinase	domain	active-like	-	7.9	yes	-
Q8IY84	kinase	domain	active-like	-	8.2	yes	-
Q8IZL9	kinase	domain	active-like	-	7.8	no	-
Q8K0D0	kinase	domain	active-like	-	8.1	no	-
Q8K1R7	kinase	domain	active-like	-	7.5	no	-
Q8K1Y2	kinase	domain	active-like	-	12.1	no	-
Q8K348	kinase	domain	active-like	-	8.1	no	-
Q8K592	kinase	domain	active-like	-	8.0	no	-
Q8L710	kinase	domain	active-like	-	7.7	yes	-
Q8L7G3	kinase	domain	active-like	-	7.7	yes	-
Q8LF80	kinase	domain	active-like	-	8.1	yes	-
Q8LG64	kinase	domain	active-like	-	8.1	yes	-
Q8LPI7	kinase	domain	active-like	-	8.3	yes	-
Q8LPJ1	kinase	domain	active-like	-	8.5	yes	-
Q8LST2	kinase	domain	active-like	-	8.0	no	-
Q8N165	kinase	domain	active-like	-	8.1	no	-
Q8N5S9	kinase	domain	active-like	-	8.0	no	-
Q8NER5	kinase	domain	active-like	-	8.1	yes	-
Q8NEV1	kinase	domain	active-like	-	7.6	yes	-
Q8QZR7	kinase	domain	active-like	-	8.0	no	-
Q8R4K2	kinase	domain	active-like	-	7.9	no	-
Q8RWC9	kinase	domain	active-like	-	8.0	no	-
Q8RWG1	kinase	domain	active-like	-	7.8	yes	-
Q8RWL2	kinase	domain	active-like	-	8.4	no	-
Q8RWL6	kinase	domain	active-like	-	7.9	yes	-
Q8RX80	kinase	domain	active-like	-	7.8	no	-
Q8RXC8	kinase	domain	active-like	-	7.8	no	-
Q8RXG3	kinase	domain	active-like	-	7.7	yes	-
Q8RY17	kinase	domain	active-like	-	7.9	no	-
Q8RY65	kinase	domain	active-like	-	7.9	yes	-
Q8RY67	kinase	domain	active-like	-	19.5	no	-
Q8S9L6	kinase	domain	active-like	-	7.9	no	-
Q8TAS1	kinase	domain	active-like	-	7.6	yes	-
Q8TD19	kinase	domain	active-like	-	7.5	yes	-
Q8TDX7	kinase	domain	active-like	-	7.3	yes	-
Q8VYA3	kinase	domain	active-like	-	7.9	no	-
Q8VYG0	kinase	domain	active-like	-	7.7	yes	-
Q8VYK9	kinase	domain	active-like	-	8.2	no	-
Q8VYT3	kinase	domain	active-like	-	7.8	yes	-
Q8VYY5	kinase	domain	active-like	-	8.1	no	-
Q8VZD5	kinase	domain	active-like	-	8.0	yes	-
Q8VZG8	kinase	domain	active-like	-	7.8	no	-
Q8VZJ9	kinase	domain	active-like	-	7.7	no	-
Q8W1D5	kinase	domain	active-like	-	8.3	no	-
Q8W490	kinase	domain	active-like	-	8.1	no	-
Q8W4G6	kinase	domain	active-like	-	7.8	no	-
Q8W4I7	kinase	domain	active-like	-	8.1	yes	-
Q8W4P1	kinase	domain	active-like	-	8.0	no	-
Q8W4S5	kinase	domain	active-like	-	7.6	no	-
Q8WXR4	kinase	domain	active-like	-	8.1	no	-
Q91VJ4	kinase	domain	active-like	-	8.1	no	-
Q91Y86	kinase	domain	active-like	-	8.3	yes	-
Q91YA2	kinase	domain	active-like	-	8.0	yes	-
Q91YS8	kinase	domain	active-like	-	8.1	no	-
Q91ZR4	kinase	domain	active-like	-	7.4	no	-
Q923T9	kinase	domain	active-like	-	8.5	yes	-
Q925K9	kinase	domain	active-like	-	8.1	yes	-
Q92772	kinase	domain	active-like	-	7.6	no	-
Q93VD3	kinase	domain	active-like	-	8.2	yes	-
Q93VK0	kinase	domain	active-like	-	7.9	yes	-
Q93YN1	kinase	domain	active-like	-	7.9	yes	-
Q93Z18	kinase	domain	active-like	-	8.3	yes	-
Q93Z30	kinase	domain	active-like	-	7.9	yes	-
Q93ZS4	kinase	domain	active-like	-	7.7	yes	-
Q940A2	kinase	domain	active-like	-	8.3	no	-
Q940H6	kinase	domain	active-like	-	7.3	yes	-
Q944Q0	kinase	domain	active-like	-	8.1	yes	-
Q94A06	kinase	domain	active-like	-	7.6	yes	-
Q94AG2	kinase	domain	active-like	-	7.8	yes	-
Q94BU1	kinase	domain	active-like	-	7.8	no	-
Q94C95	kinase	domain	active-like	-	8.2	no	-
Q94CG0	kinase	domain	active-like	-	8.3	no	-
Q94F62	kinase	domain	active-like	-	7.8	yes	-
Q96285	kinase	domain	active-like	-	7.7	yes	-
Q96287	kinase	domain	active-like	-	8.1	yes	-
Q96GD4	kinase	domain	active-like	-	8.4	yes	-
Q96LW2	kinase	domain	active-like	-	8.1	no	-
Q96PF2	kinase	domain	active-like	-	8.2	yes	-
Q96PN8	kinase	domain	active-like	-	8.0	yes	-
Q96Q40	kinase	domain	active-like	-	8.0	yes	-
Q96S44	kinase	domain	active-like	-	7.8	yes	-
Q99683	kinase	domain	active-like	-	8.7	yes	-
Q99986	kinase	domain	active-like	-	8.4	yes	-
Q99J95	kinase	domain	active-like	-	7.6	yes	-
Q99JP0	kinase	domain	active-like	-	8.0	no	-
Q99ML2	kinase	domain	active-like	-	8.1	yes	-
Q99MQ3	kinase	domain	active-like	-	7.9	yes	-
Q99PW4	kinase	domain	active-like	-	7.8	no	-
Q9ASQ5	kinase	domain	active-like	-	7.9	no	-
Q9ASQ6	kinase	domain	active-like	-	7.8	no	-
Q9BXA6	kinase	domain	active-like	-	8.0	yes	-
Q9BXM7	kinase	domain	active-like	-	8.0	yes	-
Q9C562	kinase	domain	active-like	-	8.4	no	-
Q9C5S8	kinase	domain	active-like	-	7.8	no	-
Q9C5S9	kinase	domain	active-like	-	7.8	yes	-
Q9C6K9	kinase	domain	active-like	-	7.6	no	-
Q9C6P3	kinase	domain	active-like	-	8.6	no	-
Q9C7S5	kinase	domain	active-like	-	7.9	yes	-
Q9C7T7	kinase	domain	active-like	-	8.0	no	-
Q9C8I6	kinase	domain	active-like	-	7.7	no	-
Q9C958	kinase	domain	active-like	-	8.2	yes	-
Q9C9L5	kinase	domain	active-like	-	7.8	no	-
Q9C9M7	kinase	domain	active-like	-	7.4	yes	-
Q9C9U2	kinase	domain	active-like	-	7.6	no	-
Q9CAI5	kinase	domain	active-like	-	8.3	no	-
Q9CAL2	kinase	domain	active-like	-	7.6	no	-
Q9CAL3	kinase	domain	active-like	-	7.8	yes	-
Q9D2E1	kinase	domain	active-like	-	8.0	yes	-
Q9D411	kinase	domain	active-like	-	7.9	yes	-
Q9DB30	kinase	domain	active-like	-	7.9	yes	-
Q9DC28	kinase	domain	active-like	-	8.3	yes	-
Q9EQY0	kinase	domain	active-like	-	8.3	yes	-
Q9ES70	kinase	domain	active-like	-	7.5	yes	-
Q9ES74	kinase	domain	active-like	-	7.3	no	-
Q9FFH8	kinase	domain	active-like	-	8.4	no	-
Q9FFP9	kinase	domain	active-like	-	8.0	no	-
Q9FG33	kinase	domain	active-like	-	7.6	no	-
Q9FGB1	kinase	domain	active-like	-	8.0	yes	-
Q9FGL5	kinase	domain	active-like	-	7.8	no	-
Q9FHG4	kinase	domain	active-like	-	7.7	no	-
Q9FHX3	kinase	domain	active-like	-	7.8	no	-
Q9FID8	kinase	domain	active-like	-	7.8	no	-
Q9FID9	kinase	domain	active-like	-	7.9	no	-
Q9FIH3	kinase	domain	active-like	-	7.9	no	-
Q9FII5	kinase	domain	active-like	-	7.6	no	-
Q9FIJ6	kinase	domain	active-like	-	7.7	yes	-
Q9FIL7	kinase	domain	active-like	-	20.9	yes	-
Q9FIM9	kinase	domain	active-like	-	8.3	yes	-
Q9FIU5	kinase	domain	active-like	-	7.8	yes	-
Q9FIZ3	kinase	domain	active-like	-	7.7	no	-
Q9FJ54	kinase	domain	active-like	-	8.2	no	-
Q9FJ55	kinase	domain	active-like	-	8.2	no	-
Q9FJI4	kinase	domain	active-like	-	7.7	no	-
Q9FJV0	kinase	domain	active-like	-	7.8	yes	-
Q9FK52	kinase	domain	active-like	-	8.0	yes	-
Q9FKG5	kinase	domain	active-like	-	19.5	no	-
Q9FKW4	kinase	domain	active-like	-	8.5	yes	-
Q9FLJ8	kinase	domain	active-like	-	7.9	yes	-
Q9FLW0	kinase	domain	active-like	-	7.9	no	-
Q9FMP5	kinase	domain	active-like	-	8.2	yes	-
Q9FN37	kinase	domain	active-like	-	7.7	no	-
Q9FN92	kinase	domain	active-like	-	7.8	no	-
Q9FN93	kinase	domain	active-like	-	7.7	no	-
Q9FN94	kinase	domain	active-like	-	7.7	no	-
Q9FRS6	kinase	domain	active-like	-	8.1	no	-
Q9FVS6	kinase	domain	active-like	-	8.1	no	-
Q9FX43	kinase	domain	active-like	-	8.0	yes	-
Q9FX86	kinase	domain	active-like	-	8.3	no	-
Q9FXF2	kinase	domain	active-like	-	7.9	yes	-
Q9FYK0	kinase	domain	active-like	-	8.3	no	-
Q9FZ59	kinase	domain	active-like	-	7.8	no	-
Q9FZB1	kinase	domain	active-like	-	7.7	no	-
Q9H2K8	kinase	domain	active-like	-	7.8	yes	-
Q9H3Y6	kinase	domain	active-like	-	7.8	yes	-
Q9H4B4	kinase	domain	active-like	-	14.3	yes	-
Q9HBH9	kinase	domain	active-like	-	5.4	yes	-
Q9HC98	kinase	domain	active-like	-	7.5	yes	-
Q9JHU3	kinase	domain	active-like	-	7.9	no	-
Q9JI10	kinase	domain	active-like	-	7.6	no	-
Q9JI11	kinase	domain	active-like	-	7.6	no	-
Q9JLM8	kinase	domain	active-like	-	7.9	yes	-
Q9JMK2	kinase	domain	active-like	-	8.3	yes	-
Q9LDI3	kinase	domain	active-like	-	8.5	yes	-
Q9LDT0	kinase	domain	active-like	-	7.8	no	-
Q9LEA3	kinase	domain	active-like	-	7.8	no	-
Q9LEU7	kinase	domain	active-like	-	8.3	no	-
Q9LFG1	kinase	domain	active-like	-	7.7	no	-
Q9LFH9	kinase	domain	active-like	-	7.8	no	-
Q9LFS4	kinase	domain	active-like	-	7.8	yes	-
Q9LFT8	kinase	domain	active-like	-	7.8	no	-
Q9LFV3	kinase	domain	active-like	-	7.8	no	-
Q9LHP4	kinase	domain	active-like	-	7.9	no	-
Q9LID3	kinase	domain	active-like	-	8.3	yes	-
Q9LIG2	kinase	domain	active-like	-	7.7	no	-
Q9LJF3	kinase	domain	active-like	-	7.8	no	-
Q9LJL9	kinase	domain	active-like	-	8.2	yes	-
Q9LJM4	kinase	domain	active-like	-	7.8	no	-
Q9LK35	kinase	domain	active-like	-	7.9	yes	-
Q9LK43	kinase	domain	active-like	-	8.1	yes	-
Q9LMM5	kinase	domain	active-like	-	7.9	no	-
Q9LMN6	kinase	domain	active-like	-	7.7	no	-
Q9LMN7	kinase	domain	active-like	-	7.7	no	-
Q9LMN8	kinase	domain	active-like	-	7.7	no	-
Q9LMP1	kinase	domain	active-like	-	7.7	no	-
Q9LMT0	kinase	domain	active-like	-	7.3	no	-
Q9LMT9	kinase	domain	active-like	-	8.0	no	-
Q9LN59	kinase	domain	active-like	-	7.7	no	-
Q9LPQ3	kinase	domain	active-like	-	8.0	no	-
Q9LPZ3	kinase	domain	active-like	-	7.7	no	-
Q9LPZ9	kinase	domain	active-like	-	19.3	yes	-
Q9LQM8	kinase	domain	active-like	-	8.1	no	-
Q9LQQ9	kinase	domain	active-like	-	8.0	no	-
Q9LRN0	kinase	domain	active-like	-	7.8	yes	-
Q9LRP3	kinase	domain	active-like	-	20.4	no	-
Q9LSC2	kinase	domain	active-like	-	7.4	no	-
Q9LSL5	kinase	domain	active-like	-	7.6	yes	-
Q9LSR8	kinase	domain	active-like	-	7.8	yes	-
Q9LSR9	kinase	domain	active-like	-	7.7	no	-
Q9LSS0	kinase	domain	active-like	-	7.8	no	-
Q9LSV3	kinase	domain	active-like	-	7.8	no	-
Q9LSX4	kinase	domain	active-like	-	8.4	no	-
Q9LT35	kinase	domain	active-like	-	7.9	no	-
Q9LT56	kinase	domain	active-like	-	8.6	no	-
Q9LT87	kinase	domain	active-like	-	7.8	no	-
Q9LT96	kinase	domain	active-like	-	8.0	no	-
Q9LUI6	kinase	domain	active-like	-	7.9	no	-
Q9LV37	kinase	domain	active-like	-	7.8	no	-
Q9LVG6	kinase	domain	active-like	-	7.8	no	-
Q9LVP0	kinase	domain	active-like	-	7.7	no	-
Q9LVQ9	kinase	domain	active-like	-	8.2	no	-
Q9LW62	kinase	domain	active-like	-	8.3	no	-
Q9LW66	kinase	domain	active-like	-	8.3	yes	-
Q9LW83	kinase	domain	active-like	-	7.8	no	-
Q9LX29	kinase	domain	active-like	-	7.9	yes	-
Q9LX30	kinase	domain	active-like	-	8.2	yes	-
Q9LX66	kinase	domain	active-like	-	8.0	yes	-
Q9LXA5	kinase	domain	active-like	-	7.6	no	-
Q9LY50	kinase	domain	active-like	-	7.8	no	-
Q9LYN8	kinase	domain	active-like	-	7.8	no	-
Q9LYQ8	kinase	domain	active-like	-	8.3	no	-
Q9LYS5	kinase	domain	active-like	-	7.9	yes	-
Q9LYX1	kinase	domain	active-like	-	7.6	no	-
Q9LZT8	kinase	domain	active-like	-	7.7	no	-
Q9LZU4	kinase	domain	active-like	-	7.8	no	-
Q9LZV4	kinase	domain	active-like	-	7.8	yes	-
Q9LZV7	kinase	domain	active-like	-	24.0	no	-
Q9LZW4	kinase	domain	active-like	-	8.2	no	-
Q9M020	kinase	domain	active-like	-	8.0	no	-
Q9M021	kinase	domain	active-like	-	7.7	no	-
Q9M077	kinase	domain	active-like	-	8.2	yes	-
Q9M085	kinase	domain	active-like	-	7.6	no	-
Q9M0D8	kinase	domain	active-like	-	8.0	no	-
Q9M0G7	kinase	domain	active-like	-	7.8	yes	-
Q9M0X5	kinase	domain	active-like	-	19.3	no	-
Q9M101	kinase	domain	active-like	-	8.5	yes	-
Q9M1G4	kinase	domain	active-like	-	7.8	no	-
Q9M1Z5	kinase	domain	active-like	-	8.0	yes	-
Q9M2S4	kinase	domain	active-like	-	7.7	no	-
Q9M2Z1	kinase	domain	active-like	-	7.8	no	-
Q9M345	kinase	domain	active-like	-	7.7	no	-
Q9M3D7	kinase	domain	active-like	-	7.7	no	-
Q9M3D8	kinase	domain	active-like	-	7.8	yes	-
Q9M3E5	kinase	domain	active-like	-	22.7	no	-
Q9M8J5	kinase	domain	active-like	-	8.1	no	-
Q9M9C5	kinase	domain	active-like	-	7.6	no	-
Q9M9E0	kinase	domain	active-like	-	7.6	no	-
Q9M9E9	kinase	domain	active-like	-	5.9	no	-
Q9M9V8	kinase	domain	active-like	-	8.2	yes	-
Q9MA15	kinase	domain	active-like	-	8.4	yes	-
Q9MAM1	kinase	domain	active-like	-	8.4	no	-
Q9NBK5	kinase	domain	active-like	-	8.1	yes	-
Q9NRP7	kinase	domain	active-like	-	8.2	yes	-
Q9NWZ3	kinase	domain	active-like	-	7.9	yes	-
Q9NYY3	kinase	domain	active-like	-	8.0	yes	-
Q9P1W9	kinase	domain	active-like	-	8.1	yes	-
Q9P289	kinase	domain	active-like	-	7.8	yes	-
Q9QVP9	kinase	domain	active-like	-	8.2	yes	-
Q9QYK9	kinase	domain	active-like	-	8.0	no	-
Q9QYZ3	kinase	domain	active-like	-	8.2	yes	-
Q9QYZ4	kinase	domain	active-like	-	8.1	yes	-
Q9QYZ6	kinase	domain	active-like	-	8.1	no	-
Q9R0T8	kinase	domain	active-like	-	7.9	yes	-
Q9S7D9	kinase	domain	active-like	-	7.7	yes	-
Q9S7I6	kinase	domain	active-like	-	7.8	no	-
Q9S7U9	kinase	domain	active-like	-	7.8	yes	-
Q9S972	kinase	domain	active-like	-	7.7	yes	-
Q9S9M1	kinase	domain	active-like	-	7.9	no	-
Q9S9M2	kinase	domain	active-like	-	7.8	no	-
Q9SA25	kinase	domain	active-like	-	7.8	no	-
Q9SA72	kinase	domain	active-like	-	8.0	no	-
Q9SCQ4	kinase	domain	active-like	-	8.3	no	-
Q9SCS2	kinase	domain	active-like	-	8.3	no	-
Q9SCU5	kinase	domain	active-like	-	8.2	no	-
Q9SCZ4	kinase	domain	active-like	-	7.8	yes	-
Q9SEZ7	kinase	domain	active-like	-	8.0	no	-
Q9SGP2	kinase	domain	active-like	-	24.4	no	-
Q9SHI2	kinase	domain	active-like	-	8.0	no	-
Q9SI22	kinase	domain	active-like	-	14.6	no	-
Q9SIQ7	kinase	domain	active-like	-	8.1	yes	-
Q9SIT1	kinase	domain	active-like	-	8.1	no	-
Q9SJG2	kinase	domain	active-like	-	7.9	no	-
Q9SJT0	kinase	domain	active-like	-	7.8	no	-
Q9SKB2	kinase	domain	active-like	-	7.8	yes	-
Q9SKG5	kinase	domain	active-like	-	7.7	yes	-
Q9SMQ4	kinase	domain	active-like	-	14.2	no	-
Q9SN43	kinase	domain	active-like	-	8.3	no	-
Q9SN97	kinase	domain	active-like	-	7.7	no	-
Q9SNA0	kinase	domain	active-like	-	7.7	no	-
Q9SNA3	kinase	domain	active-like	-	20.2	no	-
Q9SPK4	kinase	domain	active-like	-	8.0	yes	-
Q9SQR8	kinase	domain	active-like	-	8.0	yes	-
Q9SR05	kinase	domain	active-like	-	7.9	no	-
Q9SR87	kinase	domain	active-like	-	7.7	no	-
Q9SSA4	kinase	domain	active-like	-	8.0	yes	-
Q9SSF8	kinase	domain	active-like	-	8.2	no	-
Q9SSL9	kinase	domain	active-like	-	7.8	no	-
