accession	best_TM_PDB	best_TM_KB	best_TM_any	mean_pLDDT	n_interpro	hypothesis_tier
Q9VHN4	0.869	0.857	0.869	86.8	4	HIGH
Q9W3B3	0.869	0.868	0.869	90.6	2	HIGH
A0A3B3IU63	0.870	0.827	0.870	77.6	3	HIGH
A1Z7I5	0.870	0.710	0.870	77.6	4	HIGH
Q32ZL2	0.393	0.870	0.870	82.2	3	HIGH
Q9V7G5	0.870	0.864	0.870	91.1	5	HIGH
Q9VX24	0.842	0.870	0.870	77.4	4	HIGH
Q9VYR0	0.870	0.729	0.870	83.2	5	HIGH
Q9VAX9	0.871	0.000	0.871	76.6	1	-
Q9VFG1	0.871	0.803	0.871	87.5	3	HIGH
Q9VVK1	0.853	0.871	0.871	94.4	3	HIGH
Q9VW93	0.871	0.287	0.871	85.1	3	HIGH
Q68CR1	0.872	0.741	0.872	81.3	4	HIGH
Q6Q5P6	0.872	0.000	0.872	73.6	3	-
Q9VDF8	0.872	0.812	0.872	90.1	2	-
Q9VVV4	0.818	0.872	0.872	84.7	7	HIGH
Q9VX08	0.872	0.321	0.872	78.2	6	HIGH
Q9W1J7	0.872	0.718	0.872	85.2	5	HIGH
Q9W1R1	0.872	0.828	0.872	91.4	2	HIGH
Q9W481	0.872	0.826	0.872	77.5	5	HIGH
A0A0B4K838	0.862	0.873	0.873	90.0	3	HIGH
A0A126GV05	0.873	0.000	0.873	78.1	1	-
A0A2R8Y4Y8	0.873	0.797	0.873	72.6	1	MEDIUM
A1Z7N0	0.845	0.873	0.873	90.8	3	HIGH
E1JIB0	0.873	0.000	0.873	75.4	1	-
Q9VFL8	0.847	0.873	0.873	73.6	0	MEDIUM
Q9VKZ5	0.831	0.873	0.873	72.3	4	HIGH
A1Z924	0.874	0.534	0.874	89.5	1	LOW
A1ZA28	0.874	0.519	0.874	84.5	2	HIGH
P53110	0.874	0.742	0.874	90.3	3	HIGH
P58951	0.800	0.874	0.874	86.2	1	HIGH
P91942	0.388	0.874	0.874	91.1	3	HIGH
Q5SZI1	0.872	0.874	0.874	78.7	4	HIGH
Q9VBY5	0.874	0.000	0.874	70.8	2	HIGH
Q9VCJ9	0.874	0.868	0.874	84.8	7	HIGH
Q9VSS7	0.874	0.282	0.874	76.6	1	LOW
Q9VUN5	0.874	0.000	0.874	72.6	0	-
Q9VZ61	0.874	0.000	0.874	76.3	2	HIGH
X2JCG8	0.874	0.865	0.874	79.4	3	HIGH
A0A0B4KEZ3	0.875	0.795	0.875	90.2	3	HIGH
Q8IQV4	0.875	0.698	0.875	78.6	2	HIGH
Q8N808	0.733	0.875	0.875	85.3	2	HIGH
Q9VC65	0.864	0.875	0.875	79.4	3	HIGH
Q9VXW4	0.872	0.875	0.875	76.4	4	HIGH
Q9VLU9	0.495	0.876	0.876	80.8	1	LOW
A0A0B4LHW5	0.877	0.000	0.877	85.5	2	-
Q7Z5Y7	0.877	0.686	0.877	70.5	4	HIGH
Q8IRL9	0.877	0.750	0.877	86.4	8	HIGH
A0A2R8YFL7	0.878	0.611	0.878	70.9	1	MEDIUM
M9ND39	0.878	0.732	0.878	90.2	4	HIGH
Q9V9P0	0.878	0.860	0.878	80.3	4	HIGH
Q9VFP9	0.871	0.878	0.878	92.1	3	HIGH
Q9VIV5	0.856	0.878	0.878	92.3	4	HIGH
X2JJX6	0.878	0.866	0.878	79.3	9	HIGH
A8DYT7	0.879	0.876	0.879	88.8	4	HIGH
M9MRJ2	0.785	0.879	0.879	80.5	4	HIGH
Q9VBQ2	0.857	0.879	0.879	77.7	4	HIGH
Q9VLY4	0.871	0.879	0.879	82.2	2	HIGH
Q9VZD9	0.823	0.879	0.879	85.2	3	HIGH
Q9VZF0	0.879	0.700	0.879	74.9	4	HIGH
Q86XH1	0.880	0.818	0.880	79.8	4	HIGH
Q8NHV5	0.848	0.880	0.880	88.7	1	-
Q9V9V4	0.880	0.853	0.880	94.6	3	HIGH
Q9VF38	0.854	0.880	0.880	92.2	2	HIGH
Q9VPQ8	0.880	0.836	0.880	77.5	7	HIGH
Q9VXC1	0.880	0.864	0.880	91.6	2	HIGH
Q9W440	0.880	0.762	0.880	95.5	2	HIGH
A0A0B4K6C0	0.881	0.000	0.881	71.9	0	-
Q6NVV3	0.226	0.881	0.881	81.1	2	HIGH
Q86TD4	0.881	0.662	0.881	84.2	5	HIGH
Q9VE43	0.881	0.000	0.881	90.1	2	HIGH
Q9VE72	0.881	0.781	0.881	85.7	6	HIGH
Q9VPG0	0.881	0.872	0.881	77.9	2	HIGH
Q9VW61	0.821	0.881	0.881	86.9	1	-
Q9VXT8	0.881	0.000	0.881	71.3	3	HIGH
Q9W1R0	0.881	0.874	0.881	93.4	2	HIGH
A8DYR4	0.882	0.834	0.882	86.1	6	HIGH
Q9VAI6	0.882	0.000	0.882	89.9	2	HIGH
Q9VBV1	0.882	0.818	0.882	90.1	2	-
A6NDA9	0.883	0.879	0.883	77.2	12	HIGH
H0Y354	0.763	0.883	0.883	85.4	1	HIGH
M9PFD1	0.883	0.000	0.883	91.8	0	-
P53343	0.000	0.883	0.883	70.6	2	HIGH
Q9VXW3	0.861	0.883	0.883	77.2	4	HIGH
A0A6H2EEF7	0.850	0.884	0.884	92.6	3	HIGH
A1ZA34	0.884	0.848	0.884	81.7	5	HIGH
Q9VAA7	0.884	0.864	0.884	86.8	2	HIGH
Q9VD87	0.866	0.884	0.884	87.7	8	HIGH
Q9VQN9	0.843	0.884	0.884	85.0	6	HIGH
Q9W4B6	0.718	0.884	0.884	84.7	1	HIGH
P92194	0.550	0.885	0.885	89.6	3	HIGH
Q6ZV70	0.885	0.864	0.885	93.0	3	HIGH
Q6ZV89	0.885	0.813	0.885	70.3	4	HIGH
Q6ZVX9	0.843	0.885	0.885	85.7	1	HIGH
Q7KUN4	0.885	0.726	0.885	79.5	3	HIGH
Q9HD45	0.288	0.885	0.885	86.6	1	HIGH
Q9VB99	0.668	0.885	0.885	87.6	2	HIGH
Q9VBC1	0.885	0.000	0.885	78.2	0	-
Q9VI40	0.885	0.845	0.885	93.4	3	HIGH
Q9VQS0	0.885	0.000	0.885	72.6	1	-
Q9VW70	0.885	0.878	0.885	81.3	4	HIGH
Q9VXT4	0.885	0.000	0.885	74.0	3	HIGH
Q9W3R1	0.885	0.872	0.885	82.4	3	HIGH
Q9W5N0	0.885	0.766	0.885	88.2	3	HIGH
A0A0B4LHI2	0.886	0.000	0.886	82.5	1	-
A1Z8Z7	0.527	0.886	0.886	81.5	3	HIGH
A6NFU8	0.886	0.000	0.886	89.3	2	-
E1JH19	0.861	0.886	0.886	82.4	6	HIGH
Q8NCS4	0.874	0.886	0.886	78.9	2	-
Q8WUS8	0.815	0.886	0.886	89.5	3	HIGH
Q9VAT2	0.830	0.886	0.886	72.1	5	HIGH
Q9VJA0	0.886	0.819	0.886	94.8	4	HIGH
Q9VZH1	0.751	0.886	0.886	90.6	1	HIGH
A1Z8J0	0.887	0.686	0.887	82.2	4	HIGH
A6NJW4	0.887	0.854	0.887	79.0	4	HIGH
P0DJR0	0.887	0.865	0.887	93.5	3	HIGH
Q0KI14	0.887	0.837	0.887	70.0	4	HIGH
Q7KW25	0.887	0.767	0.887	82.8	2	HIGH
Q8IN95	0.887	0.854	0.887	75.7	4	HIGH
Q8INP9	0.551	0.887	0.887	93.1	1	LOW
Q9VG22	0.887	0.855	0.887	93.6	3	HIGH
Q9VJQ3	0.887	0.865	0.887	93.6	2	HIGH
Q9VU78	0.859	0.887	0.887	90.4	3	HIGH
Q9W247	0.887	0.193	0.887	88.5	5	HIGH
Q9W550	0.887	0.869	0.887	74.8	5	HIGH
M9PFR8	0.888	0.718	0.888	89.6	6	HIGH
Q5GAN4	0.888	0.733	0.888	88.2	3	HIGH
Q9VB17	0.888	0.814	0.888	83.7	2	HIGH
Q9VFE7	0.888	0.826	0.888	78.6	1	HIGH
Q9VJY4	0.888	0.877	0.888	84.3	4	HIGH
Q9VMX1	0.657	0.888	0.888	93.4	2	HIGH
Q9VXF6	0.888	0.674	0.888	76.6	4	HIGH
Q9VZX0	0.888	0.746	0.888	78.5	2	HIGH
A8JRA0	0.889	0.876	0.889	81.2	5	HIGH
P82983	0.883	0.889	0.889	89.3	1	HIGH
Q6ZST4	0.889	0.805	0.889	70.8	3	HIGH
Q8NEA4	0.889	0.000	0.889	89.7	3	HIGH
Q9VNH5	0.889	0.731	0.889	83.6	3	HIGH
Q9VWX7	0.889	0.550	0.889	75.4	4	HIGH
Q9W4J6	0.889	0.307	0.889	83.6	3	HIGH
Q9VEZ7	0.890	0.805	0.890	86.8	2	LOW
Q9VLU3	0.890	0.779	0.890	95.5	4	HIGH
Q9VM54	0.890	0.000	0.890	75.4	4	HIGH
A0A0B4KGD9	0.839	0.891	0.891	72.1	5	HIGH
A0A6M3Q724	0.836	0.891	0.891	83.6	3	HIGH
A6NHM9	0.881	0.891	0.891	89.9	9	HIGH
P0C672	0.836	0.891	0.891	90.8	3	HIGH
Q8IRF4	0.891	0.233	0.891	79.1	2	HIGH
Q9NVX7	0.891	0.841	0.891	77.7	9	HIGH
Q9VF34	0.891	0.760	0.891	74.1	4	HIGH
Q9VSD7	0.891	0.742	0.891	80.0	4	HIGH
Q9VYP9	0.891	0.777	0.891	92.1	3	HIGH
A1Z8R5	0.882	0.892	0.892	93.3	1	HIGH
P0CW19	0.892	0.860	0.892	73.2	2	HIGH
Q8INZ8	0.892	0.887	0.892	95.2	3	HIGH
Q9V3J5	0.883	0.892	0.892	83.9	3	HIGH
Q9VA93	0.892	0.767	0.892	87.6	2	HIGH
Q9VC67	0.892	0.817	0.892	91.6	2	LOW
Q9VK68	0.892	0.823	0.892	84.5	4	HIGH
X2JFV5	0.892	0.000	0.892	76.0	0	-
A0A0B4LG43	0.893	0.874	0.893	85.2	4	HIGH
A0AAG2SXN7	0.844	0.893	0.893	85.6	3	HIGH
A1Z9K4	0.893	0.846	0.893	75.1	3	HIGH
M9NE79	0.893	0.866	0.893	90.8	5	HIGH
P0C263	0.842	0.893	0.893	89.6	4	HIGH
Q5TDP6	0.893	0.625	0.893	77.5	4	HIGH
Q9H3Y0	0.893	0.872	0.893	82.8	4	HIGH
Q9VJ75	0.887	0.893	0.893	81.1	3	HIGH
A0A0B4KF22	0.894	0.788	0.894	88.6	2	-
Q9VC87	0.894	0.888	0.894	84.4	9	HIGH
Q9VJ04	0.894	0.517	0.894	79.8	6	HIGH
Q9Y0Y7	0.893	0.894	0.894	94.8	3	HIGH
A0A0B4LG94	0.872	0.895	0.895	84.1	6	HIGH
Q7KVM8	0.895	0.873	0.895	83.3	6	HIGH
Q9VC06	0.895	0.832	0.895	90.0	5	HIGH
Q9VF65	0.758	0.895	0.895	82.2	3	HIGH
Q9VMI8	0.895	0.607	0.895	96.1	3	HIGH
Q9VMV3	0.895	0.891	0.895	83.2	7	HIGH
Q9VP46	0.895	0.753	0.895	71.1	6	HIGH
Q9VQI0	0.895	0.622	0.895	81.3	2	HIGH
Q9VRN1	0.334	0.895	0.895	85.9	1	HIGH
Q9W047	0.837	0.895	0.895	89.8	3	HIGH
Q6UXD7	0.896	0.860	0.896	74.8	3	HIGH
Q6UY09	0.896	0.756	0.896	74.0	6	HIGH
Q86WN2	0.896	0.830	0.896	81.5	2	HIGH
Q8NFQ5	0.829	0.896	0.896	88.0	4	HIGH
Q9V776	0.864	0.896	0.896	88.8	5	HIGH
Q9VA55	0.866	0.896	0.896	81.1	4	HIGH
Q9VB30	0.788	0.896	0.896	87.4	1	HIGH
Q9VB66	0.896	0.886	0.896	80.9	7	HIGH
Q9VDK7	0.896	0.439	0.896	83.7	5	HIGH
Q9VQ75	0.896	0.893	0.896	84.8	3	HIGH
Q9VQZ5	0.896	0.000	0.896	76.5	1	MEDIUM
Q9VVN6	0.874	0.896	0.896	90.4	4	HIGH
Q9W0M5	0.793	0.896	0.896	87.1	1	LOW
A1ZB48	0.897	0.829	0.897	91.6	3	HIGH
Q8IYP2	0.897	0.877	0.897	90.4	4	HIGH
Q9H4I8	0.886	0.897	0.897	90.5	3	HIGH
Q9VEG9	0.333	0.897	0.897	92.7	1	HIGH
Q9VLP9	0.704	0.897	0.897	93.6	2	HIGH
Q9VPG2	0.897	0.883	0.897	78.5	2	HIGH
A0A1W2PR48	0.898	0.878	0.898	72.3	4	HIGH
A1Z7Q7	0.752	0.898	0.898	81.2	4	HIGH
E1JI09	0.898	0.000	0.898	93.4	2	HIGH
Q2PDY8	0.898	0.744	0.898	70.0	3	HIGH
Q9VFR0	0.898	0.783	0.898	83.0	1	HIGH
Q9VGN6	0.898	0.885	0.898	82.9	2	HIGH
Q9VS41	0.898	0.836	0.898	75.9	6	HIGH
Q9VVQ9	0.898	0.874	0.898	90.9	6	HIGH
Q9VWR2	0.879	0.898	0.898	93.5	5	HIGH
Q9W045	0.860	0.898	0.898	93.3	3	HIGH
Q9W3G8	0.898	0.524	0.898	95.5	2	HIGH
A1ZAL5	0.879	0.899	0.899	82.3	4	HIGH
E1JHG3	0.899	0.882	0.899	90.4	2	HIGH
Q94915	0.899	0.733	0.899	94.7	6	HIGH
Q9H920	0.427	0.899	0.899	84.4	3	HIGH
Q9VA50	0.899	0.898	0.899	86.3	7	HIGH
Q9VB64	0.899	0.738	0.899	95.2	3	HIGH
Q9VDF6	0.899	0.778	0.899	91.1	2	-
Q9VN27	0.899	0.888	0.899	91.7	4	HIGH
Q9W448	0.899	0.889	0.899	85.9	5	HIGH
Q8IMF4	0.900	0.854	0.900	71.7	1	HIGH
Q8MH63	0.900	0.875	0.900	80.4	2	HIGH
Q9VQC4	0.900	0.882	0.900	94.5	5	HIGH
A0A0B4KHJ0	0.901	0.675	0.901	82.6	6	HIGH
Q5VWM6	0.732	0.901	0.901	82.1	5	HIGH
Q8TE57	0.901	0.539	0.901	71.9	11	HIGH
Q8WXS4	0.833	0.901	0.901	87.4	1	HIGH
Q9I7J0	0.901	0.758	0.901	86.8	6	HIGH
Q9V4T3	0.901	0.898	0.901	89.8	5	HIGH
Q9VAS2	0.901	0.876	0.901	89.9	5	HIGH
Q9VCJ0	0.901	0.871	0.901	77.6	6	HIGH
Q9VQU4	0.901	0.881	0.901	86.8	4	HIGH
Q9VRE9	0.901	0.827	0.901	78.9	3	HIGH
Q9VXY4	0.846	0.901	0.901	93.5	2	LOW
Q9W3P6	0.748	0.901	0.901	73.2	2	HIGH
Q6IHY4	0.902	0.821	0.902	83.4	0	-
Q8N6Y2	0.902	0.855	0.902	78.1	5	HIGH
Q9VHB2	0.617	0.902	0.902	78.4	1	HIGH
Q9VK31	0.902	0.753	0.902	70.6	5	HIGH
Q8IRC8	0.348	0.903	0.903	83.8	1	HIGH
Q9VB77	0.903	0.847	0.903	90.7	2	-
Q9VBG7	0.903	0.000	0.903	96.5	1	-
Q9W2Q2	0.903	0.893	0.903	85.7	4	HIGH
A0A1B0GX95	0.904	0.885	0.904	82.9	5	HIGH
A1Z7X3	0.904	0.880	0.904	84.3	2	HIGH
A8JQU1	0.904	0.878	0.904	86.8	7	HIGH
M9MRT1	0.904	0.902	0.904	84.8	3	HIGH
P53403	0.904	0.883	0.904	84.7	6	HIGH
Q8N0Z9	0.904	0.737	0.904	77.1	7	HIGH
Q9GIP4	0.904	0.813	0.904	78.4	2	HIGH
Q9VDV5	0.904	0.902	0.904	88.2	3	HIGH
Q9VHP4	0.904	0.884	0.904	90.7	4	HIGH
Q9VKD2	0.506	0.904	0.904	82.8	1	HIGH
Q9VPD9	0.839	0.904	0.904	78.7	4	HIGH
Q9VRT1	0.904	0.904	0.904	70.0	6	HIGH
Q9VVQ5	0.904	0.854	0.904	86.7	6	HIGH
Q9W142	0.904	0.857	0.904	83.4	3	HIGH
A0A6M3QGH5	0.905	0.672	0.905	90.3	1	-
Q5SQS7	0.905	0.869	0.905	83.4	3	HIGH
Q7PLV6	0.905	0.870	0.905	88.2	7	HIGH
Q8I937	0.905	0.848	0.905	78.2	1	HIGH
Q9NVA4	0.465	0.905	0.905	71.5	1	LOW
Q9VH25	0.905	0.838	0.905	88.8	2	HIGH
Q9VWF3	0.782	0.905	0.905	90.2	4	HIGH
Q9VZ55	0.905	0.869	0.905	83.2	12	HIGH
Q9W011	0.876	0.905	0.905	90.8	5	HIGH
Q9W271	0.905	0.820	0.905	81.1	4	HIGH
A6NKX4	0.906	0.807	0.906	78.2	3	HIGH
Q5H913	0.906	0.900	0.906	70.8	3	HIGH
Q8IH00	0.906	0.852	0.906	85.7	7	LOW
Q8IPS4	0.906	0.805	0.906	92.0	8	HIGH
Q9VE08	0.906	0.366	0.906	83.1	3	HIGH
Q9VTR0	0.906	0.280	0.906	90.4	3	HIGH
Q9VXC5	0.906	0.889	0.906	88.9	3	HIGH
A0A1W2PR95	0.907	0.888	0.907	79.9	2	HIGH
A1ZA14	0.752	0.907	0.907	88.3	1	HIGH
A6NNS2	0.907	0.896	0.907	87.5	4	HIGH
Q4QY38	0.907	0.000	0.907	79.7	1	HIGH
Q9VWK0	0.907	0.849	0.907	76.2	3	HIGH
Q9VXR9	0.907	0.809	0.907	83.8	6	HIGH
Q9VYA1	0.907	0.787	0.907	90.4	3	HIGH
A6NNN8	0.796	0.908	0.908	83.7	1	HIGH
Q12257	0.791	0.908	0.908	84.8	5	HIGH
Q86SM5	0.881	0.908	0.908	86.1	4	HIGH
Q8ING0	0.908	0.905	0.908	74.0	6	HIGH
Q8INW8	0.908	0.649	0.908	83.7	1	HIGH
Q9VIK9	0.908	0.891	0.908	89.8	3	HIGH
Q9VIV6	0.834	0.908	0.908	92.8	5	HIGH
Q9VXS8	0.908	0.889	0.908	93.1	2	HIGH
Q9VYV0	0.870	0.908	0.908	83.2	3	HIGH
Q9VZW6	0.908	0.000	0.908	85.3	3	HIGH
Q5VUY0	0.909	0.892	0.909	94.6	4	HIGH
Q86B58	0.909	0.909	0.909	86.2	5	HIGH
Q8NGA4	0.909	0.866	0.909	79.0	3	HIGH
Q9VJ58	0.909	0.870	0.909	81.6	7	HIGH
Q9VRV9	0.909	0.905	0.909	89.3	6	HIGH
Q9W1X6	0.909	0.883	0.909	83.0	5	HIGH
Q9W2R1	0.907	0.909	0.909	91.3	4	HIGH
A0A0B4K7H3	0.910	0.697	0.910	85.2	2	MEDIUM
A0A0B4K875	0.910	0.850	0.910	80.9	6	HIGH
A1Z8L7	0.910	0.865	0.910	80.7	4	HIGH
A8MXE2	0.910	0.898	0.910	88.1	1	HIGH
P82985	0.851	0.910	0.910	91.2	1	HIGH
Q8INR5	0.910	0.517	0.910	77.7	3	HIGH
Q8IP78	0.910	0.882	0.910	88.5	3	HIGH
Q9VGB3	0.910	0.901	0.910	93.7	5	HIGH
Q9VKN9	0.720	0.910	0.910	94.3	2	HIGH
Q9VRA0	0.902	0.910	0.910	87.0	3	HIGH
Q9VYJ4	0.733	0.910	0.910	82.0	2	HIGH
Q6P2M8	0.911	0.888	0.911	81.8	5	HIGH
Q9H1F0	0.911	0.540	0.911	83.1	2	HIGH
Q9V9Y6	0.911	0.867	0.911	92.7	4	HIGH
Q9VD68	0.911	0.859	0.911	93.5	3	HIGH
Q9VDV7	0.908	0.911	0.911	88.9	3	HIGH
Q9VJH7	0.911	0.780	0.911	77.7	4	HIGH
A0AAG2TCD0	0.500	0.912	0.912	83.8	2	HIGH
O60811	0.751	0.912	0.912	81.1	5	HIGH
P0DY26	0.912	0.000	0.912	80.0	1	HIGH
Q6UX27	0.912	0.902	0.912	76.2	5	HIGH
Q7KT84	0.912	0.898	0.912	76.3	5	HIGH
Q9VE31	0.912	0.589	0.912	84.6	3	HIGH
Q9VFG2	0.909	0.912	0.912	87.4	3	HIGH
Q9VM22	0.912	0.802	0.912	86.8	2	HIGH
Q9VUN8	0.912	0.907	0.912	92.4	2	HIGH
Q9VWE7	0.912	0.893	0.912	85.7	6	HIGH
Q9W298	0.912	0.536	0.912	88.9	3	LOW
Q9W3S8	0.885	0.912	0.912	84.8	7	HIGH
A0A0B4K7B4	0.913	0.000	0.913	74.8	0	-
A8DYY5	0.913	0.773	0.913	94.3	3	HIGH
M9PEP7	0.913	0.844	0.913	72.4	3	HIGH
O95157	0.913	0.332	0.913	71.9	2	MEDIUM
P0CV98	0.853	0.913	0.913	74.4	2	HIGH
P62502	0.913	0.762	0.913	79.7	4	HIGH
Q58FF6	0.913	0.869	0.913	79.2	6	HIGH
Q5SWL8	0.769	0.913	0.913	83.5	5	HIGH
Q9I7S2	0.913	0.785	0.913	95.9	3	HIGH
Q9VA88	0.913	0.898	0.913	78.6	8	HIGH
Q9VEH4	0.913	0.709	0.913	86.7	3	HIGH
Q9VGZ0	0.892	0.913	0.913	87.8	5	HIGH
Q9W3V1	0.913	0.895	0.913	88.8	6	HIGH
A1ZA39	0.893	0.914	0.914	87.0	6	HIGH
A1ZA41	0.898	0.914	0.914	86.1	4	HIGH
B4DX44	0.914	0.832	0.914	72.4	4	HIGH
B7YZM8	0.914	0.734	0.914	78.9	6	HIGH
O76462	0.780	0.914	0.914	89.4	2	HIGH
P47182	0.914	0.826	0.914	94.3	3	HIGH
Q07530	0.914	0.905	0.914	85.3	3	HIGH
Q2MGL8	0.906	0.914	0.914	93.8	4	HIGH
Q9V559	0.914	0.859	0.914	93.2	5	HIGH
Q9V5L3	0.914	0.882	0.914	83.2	5	HIGH
Q9VXY0	0.914	0.891	0.914	90.1	5	HIGH
Q9VZD2	0.914	0.905	0.914	93.5	4	HIGH
P0C7V8	0.875	0.915	0.915	70.3	4	HIGH
P22580	0.915	0.826	0.915	96.2	3	HIGH
Q5TC63	0.915	0.898	0.915	94.7	3	HIGH
Q7Z5A4	0.915	0.899	0.915	75.4	4	HIGH
Q8WW62	0.915	0.721	0.915	81.4	2	HIGH
Q9VI79	0.877	0.915	0.915	91.2	5	HIGH
Q9VTY1	0.911	0.915	0.915	86.9	4	HIGH
Q9VWK6	0.579	0.915	0.915	79.0	2	HIGH
Q9W1G4	0.906	0.915	0.915	90.5	5	HIGH
A1Z7S7	0.916	0.707	0.916	82.0	7	HIGH
M9PCH1	0.916	0.831	0.916	86.6	2	HIGH
Q6UWY5	0.916	0.914	0.916	88.4	2	HIGH
Q8IQM1	0.916	0.874	0.916	72.6	4	HIGH
Q9VHV9	0.871	0.916	0.916	92.5	3	HIGH
Q9VKR5	0.842	0.916	0.916	90.2	3	HIGH
Q9VMD3	0.916	0.866	0.916	91.4	6	HIGH
Q9VQ01	0.915	0.916	0.916	80.5	5	HIGH
Q9VQD0	0.916	0.742	0.916	89.6	1	LOW
Q9VQP0	0.894	0.916	0.916	89.2	6	HIGH
Q9VZZ8	0.916	0.308	0.916	80.4	2	LOW
A1L157	0.801	0.917	0.917	87.7	3	HIGH
A1Z9Q7	0.917	0.917	0.917	87.7	3	HIGH
P25612	0.917	0.842	0.917	86.4	3	HIGH
Q2PDY6	0.917	0.331	0.917	73.8	2	HIGH
Q4ABI1	0.917	0.559	0.917	84.9	1	LOW
Q5VTA0	0.735	0.917	0.917	76.1	5	HIGH
Q6ZWI9	0.917	0.881	0.917	83.4	10	HIGH
Q9VBU5	0.912	0.917	0.917	94.1	4	HIGH
Q9VCF6	0.845	0.917	0.917	93.2	4	HIGH
Q9VID7	0.917	0.000	0.917	86.9	3	HIGH
Q9VJV2	0.917	0.880	0.917	92.9	1	HIGH
Q9VTD9	0.917	0.846	0.917	94.0	4	HIGH
Q9W2G1	0.899	0.917	0.917	85.1	5	HIGH
Q9W2Y4	0.917	0.000	0.917	74.3	5	HIGH
E1JI63	0.918	0.844	0.918	90.3	1	HIGH
M9PFG1	0.917	0.918	0.918	88.6	4	HIGH
Q8N1S5	0.918	0.678	0.918	76.5	1	HIGH
Q9VA65	0.918	0.809	0.918	88.6	7	HIGH
Q9VEJ9	0.918	0.878	0.918	89.5	3	HIGH
Q9VQH4	0.918	0.729	0.918	89.0	2	HIGH
Q9VWI5	0.917	0.918	0.918	81.2	7	HIGH
Q9W0F0	0.918	0.894	0.918	93.2	2	HIGH
M9PDL2	0.919	0.718	0.919	75.3	10	HIGH
P54195	0.919	0.838	0.919	91.0	2	HIGH
Q7KSK2	0.919	0.868	0.919	71.7	4	HIGH
Q9VAW0	0.881	0.919	0.919	83.3	1	HIGH
Q9VE98	0.919	0.915	0.919	81.6	9	HIGH
Q9VPC3	0.919	0.684	0.919	89.2	2	HIGH
Q9VRP8	0.919	0.913	0.919	88.6	4	HIGH
Q9VX13	0.437	0.919	0.919	86.5	3	HIGH
Q9VX63	0.908	0.919	0.919	83.2	9	HIGH
Q9VXN0	0.783	0.919	0.919	92.3	3	HIGH
Q9W099	0.919	0.861	0.919	77.1	2	HIGH
A0A0A0MS02	0.918	0.920	0.920	85.3	5	HIGH
A0A0B4K600	0.920	0.898	0.920	77.8	4	HIGH
A4D1F6	0.920	0.912	0.920	81.1	8	HIGH
M9PCC9	0.920	0.772	0.920	81.1	2	HIGH
Q86X60	0.736	0.920	0.920	85.2	1	HIGH
Q8N945	0.894	0.920	0.920	87.0	2	HIGH
Q9I7C6	0.612	0.920	0.920	92.7	3	HIGH
Q9V6H1	0.920	0.894	0.920	89.2	5	HIGH
Q9VH55	0.915	0.920	0.920	88.0	2	HIGH
Q9VHM2	0.920	0.523	0.920	85.2	3	HIGH
Q9VYL5	0.900	0.920	0.920	80.6	7	HIGH
A0A0C4DHN2	0.879	0.921	0.921	93.7	1	HIGH
A1ZAI3	0.815	0.921	0.921	89.2	4	HIGH
A6NCF6	0.921	0.662	0.921	73.6	5	HIGH
A6NGE4	0.874	0.921	0.921	73.3	4	HIGH
B7YZH8	0.912	0.921	0.921	90.0	1	HIGH
Q27589	0.913	0.921	0.921	92.1	5	HIGH
Q7JW12	0.921	0.859	0.921	88.4	4	HIGH
Q8MLN7	0.564	0.921	0.921	91.1	2	HIGH
Q9BZ81	0.921	0.793	0.921	80.2	4	HIGH
Q9VDC0	0.920	0.921	0.921	96.3	2	HIGH
Q9VUF0	0.921	0.909	0.921	73.6	5	HIGH
Q9VVW8	0.921	0.589	0.921	94.3	3	HIGH
Q9W083	0.921	0.746	0.921	83.0	5	HIGH
Q9W4N5	0.921	0.910	0.921	92.5	4	HIGH
A0A0B4JDG3	0.922	0.000	0.922	82.1	1	-
A1Z6K7	0.922	0.677	0.922	83.5	4	HIGH
A6NI03	0.922	0.726	0.922	85.1	11	HIGH
M9NDR1	0.922	0.874	0.922	91.1	3	HIGH
Q5VWM4	0.737	0.922	0.922	86.6	5	HIGH
Q6IIA4	0.922	0.835	0.922	96.7	2	HIGH
Q7KVQ8	0.831	0.922	0.922	71.5	3	HIGH
Q86BH3	0.922	0.891	0.922	91.2	3	HIGH
Q9VFG0	0.922	0.898	0.922	86.8	3	HIGH
Q9VH79	0.873	0.922	0.922	81.4	9	HIGH
Q9VJI5	0.887	0.922	0.922	90.1	2	HIGH
Q9VYT8	0.922	0.901	0.922	92.4	5	HIGH
A0A075B6L2	0.923	0.875	0.923	77.4	3	HIGH
A0A1Z1CGZ4	0.864	0.923	0.923	90.5	6	HIGH
A1ZBU9	0.923	0.000	0.923	88.3	2	HIGH
A8MV23	0.923	0.894	0.923	78.8	7	HIGH
E7ERA6	0.923	0.399	0.923	72.8	4	HIGH
Q30KR1	0.923	0.000	0.923	81.5	0	-
Q8IMV4	0.923	0.835	0.923	91.0	4	HIGH
Q9V3Q1	0.923	0.913	0.923	84.8	6	HIGH
Q9VAQ2	0.923	0.895	0.923	84.2	6	HIGH
Q9VMH9	0.918	0.923	0.923	94.5	3	HIGH
Q9VMT6	0.923	0.899	0.923	93.1	5	HIGH
Q9W2C3	0.923	0.848	0.923	81.2	2	HIGH
A6NCL2	0.924	0.000	0.924	81.7	1	HIGH
A6NEY8	0.924	0.729	0.924	95.4	3	HIGH
